txid,ordertxid,postxid,pair,aclass,time,type,ordertype,price,cost,fee,vol,margin,leverage,misc,trade_id,maker
TU4HDS-NUAZT-HWOO22,O3YO2W-NGMLJ-U56YOX,TKH2SE-M7IF5-CFI7LT,XXBTZEUR,forex,1751790110.630651,buy,limit,91828.1,36.6238,0.09156,0.00039883,0.0,0,,96846998,True
TDA7SH-ZANYB-IKAOXR,OUXRWL-Q2FBR-YNDKOC,TKH2SE-M7IF5-CFI7LT,XXBTZEUR,forex,1751381120.662753,buy,limit,90000.0,33.2496,0.08312,0.00036944,0.0,0,,96753816,True
TEHNCW-W7RZX-FUOC4U,OKYREO-4XEZI-A6EVAJ,TKH2SE-M7IF5-CFI7LT,XXBTZEUR,forex,1750696154.470146,buy,limit,87000.0,29.99934,0.075,0.00034482,0.0,0,,96593093,True
TGDVL3-PPT6B-V7JBRU,O2VIZB-HBTUX-M6WVH6,TKH2SE-M7IF5-CFI7LT,XXBTZEUR,forex,1750527641.179067,buy,limit,89675.3,8.66174,0.02165,9.659e-05,0.0,0,,96535605,True
TZ4B2K-GMY57-YXEKWM,O2VIZB-HBTUX-M6WVH6,TKH2SE-M7IF5-CFI7LT,XXBTZEUR,forex,1750527628.067977,buy,limit,89675.3,27.96166,0.0699,0.00031181,0.0,0,,96535599,True
TW4XCE-YG323-NV4BFM,O3YO4P-DRGCO-TIABJI,TKH2SE-M7IF5-CFI7LT,XXBTZEUR,forex,1750179925.105419,buy,limit,90000.0,19.9998,0.05,0.00022222,0.0,0,,96453453,True
TB6U7Y-ZKPZX-SKK6X3,ODVBVO-UXIUP-VTKBTP,TKH2SE-M7IF5-CFI7LT,XXBTZEUR,forex,1750056337.24643,buy,limit,92312.4,36.6231,0.09156,0.00039673,0.0,0,,96414722,True
TG7IXE-JC22A-W5ECEW,OCQLQP-6R22W-7MTZ6L,TKH2SE-M7IF5-CFI7LT,XXBTZEUR,forex,1749774277.778673,buy,limit,90000.0,19.9998,0.05,0.00022222,0.0,0,,96354638,True
TJQT43-ALNQ3-GE3S3J,OBVFZB-KWSPK-WXRPEH,TKH2SE-M7IF5-CFI7LT,XXBTZEUR,forex,1749632568.834243,buy,limit,95802.4,36.62334,0.09156,0.00038228,0.0,0,,96310899,True
THLQH2-ZB7UO-ZUC46E,OJCGBE-F7DJR-NJUBN2,TKH2SE-M7IF5-CFI7LT,XXBTZEUR,forex,1749190972.214379,buy,limit,90209.7,4.35893,0.0109,4.832e-05,0.0,0,,96197415,True
TWK3PJ-44AY5-HIBF65,OJCGBE-F7DJR-NJUBN2,TKH2SE-M7IF5-CFI7LT,XXBTZEUR,forex,1749190970.889747,buy,limit,90209.7,4.51049,0.01128,5e-05,0.0,0,,96197414,True
